id_a,name_a,category_a,source_a,id_b,name_b,category_b,source_b,distance_m,coordinate_basis_a,coordinate_basis_b,rule,priority,status,reason,action
seamall,シーモール,mall,way/257074927,osm-node-2426673962,下関大丸,mall,node/2426673962,42.0,curated_geometry_bbox_center_for_screening_only,original_node,same_category_within_75m,normal,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
sunlive-kudamatsu,サンリブ下松,mall,node/8704546617,osm-way-305489114,ABC Mart,mall,way/305489114,11.6,original_node,saved_representative_point,same_category_within_75m,high,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
fuji-yamaguchi,フジグラン山口,mall,way/374499083,osm-node-4098812296,フジグラン山口,mall,node/4098812296,105.2,curated_geometry_bbox_center_for_screening_only,original_node,same_name_within_1000m,high,pending,名称と代表位置の近さだけでは同一施設と確定できない。敷地と建物の別登録、同名支店を確認する必要がある。,ID維持・未統合
osm-node-10275660943,セブンイレブン宇部島2丁目店,convenience,node/10275660943,osm-way-560979794,セブンイレブン,convenience,way/560979794,4.4,original_node,saved_representative_point,same_category_within_75m,high,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
osm-node-10275726015,セブン-イレブン,convenience,node/10275726015,osm-way-1121040368,セブン-イレブン,convenience,way/1121040368,706.2,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-10275726015,セブン-イレブン,convenience,node/10275726015,osm-way-560979798,セブン-イレブン,convenience,way/560979798,422.7,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-10275726015,セブン-イレブン,convenience,node/10275726015,osm-way-560984476,セブン-イレブン,convenience,way/560984476,10.4,original_node,saved_representative_point,same_name_within_1000m,high,pending,名称と代表位置の近さだけでは同一施設と確定できない。敷地と建物の別登録、同名支店を確認する必要がある。,ID維持・未統合
osm-node-10275726015,セブン-イレブン,convenience,node/10275726015,osm-way-756496408,セブン-イレブン,convenience,way/756496408,980.8,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-10915439394,セブン-イレブン,convenience,node/10915439394,osm-way-1243641826,セブン-イレブン,convenience,way/1243641826,425.0,original_node,saved_representative_point,same_name_within_1000m,normal,pending,同名でも代表位置が150mを超えて離れている。支店名未登録・位置の誤り・同一敷地の別建物を区別できない。,ID維持・未統合
osm-node-11389798235,ドラッグストアモリ 防府新田店,pharmacy,node/11389798235,osm-way-1228233757,ドラッグストアモリ 防府新田店 2023年12月23日OPEN,pharmacy,way/1228233757,2.5,original_node,saved_representative_point,same_category_within_75m,high,pending,名称が異なる近接記録。別施設・館内テナント・旧名の可能性があり、距離だけでは統合できない。,ID維持・未統合
